card_id,grade,cost,name,dice_index,dice_kind,damage_type,min,max,use_type,use_text,trigger,effect_text
1,보급,0,회피,1,EVADE,,1,4,,,,
2,보급,0,회피 공격,1,EVADE,,1,4,,,,
2,보급,0,회피 공격,2,ATTACK,SLASH,1,2,,,,
3,한정,0,추충전,1,ATTACK,BLUNT,2,3,사용시,"빛 1 회복, 다음 턴에 마비 1을 받음",,
4,보급,0,추적,1,ATTACK,SLASH,1,4,사용시,체력 1 회복,,
5,보급,1,가벼운 공격,1,ATTACK,PIERCE,2,3,,,,
5,보급,1,가벼운 공격,2,ATTACK,BLUNT,1,4,,,,
6,보급,1,가벼운 방어,1,EVADE,,1,5,,,,
6,보급,1,가벼운 방어,2,DEFENSE,,2,3,,,,
6,보급,1,가벼운 방어,3,ATTACK,SLASH,1,2,,,,
7,보급,1,찌르기,1,ATTACK,PIERCE,1,4,,,,
7,보급,1,찌르기,2,ATTACK,PIERCE,1,4,,,,
8,보급,1,재빠름,1,ATTACK,BLUNT,1,4,사용시,다음 막에 신속 1을 얻음,,
8,보급,1,재빠름,2,EVADE,,1,6,사용시,다음 막에 신속 1을 얻음,,
9,고급,1,물어뜯기,1,ATTACK,SLASH,1,4,,,적중,다음 막에 출혈 1 부여
9,고급,1,물어뜯기,2,ATTACK,BLUNT,1,4,,,,
10,고급,1,골목 돌파,1,ATTACK,PIERCE,1,8,,,적중,다음 막에 출혈 1 부여
11,고급,1,튀어,1,EVADE,,1,6,,,,
11,고급,1,튀어,2,EVADE,,1,6,,,,
11,고급,1,튀어,3,ATTACK,BLUNT,1,4,,,,
12,고급,1,느낌 좋은데,1,ATTACK,SLASH,1,5,,,적중,다음 막에 취약 1 부여
12,고급,1,느낌 좋은데,2,DEFENSE,,3,4,,,,
13,보급,1,준비,1,ATTACK,PIERCE,2,3,,,,
13,보급,1,준비,2,DEFENSE,,3,4,,,합 승리,빛 1 회복
14,고급,1,버버티기,1,DEFENSE,,2,5,,,,
14,고급,1,버버티기,2,DEFENSE,,3,4,,,합 승리,다음 막에 마비 1 부여
14,고급,1,버버티기,3,ATTACK,BLUNT,1,3,,,적중,다음 막에 마비 1 부여
15,보급,2,공격과 수비,1,ATTACK,PIERCE,3,6,,,,
15,보급,2,공격과 수비,2,DEFENSE,,2,6,,,,
16,보급,2,때리기,1,ATTACK,BLUNT,2,6,,,,
16,보급,2,때리기,2,ATTACK,BLUNT,2,4,,,,
17,보급,2,선공,1,ATTACK,SLASH,3,5,,,,
17,보급,2,선공,2,EVADE,,1,8,,,,
18,보급,2,쥐의 생존법,1,DEFENSE,,1,6,,,,
18,보급,2,쥐의 생존법,2,ATTACK,SLASH,3,4,,,적중,다음 막에 출혈 1 부여
18,보급,2,쥐의 생존법,3,EVADE,,1,7,,,,
19,한정,2,더러운 타격,1,ATTACK,BLUNT,3,7,,,합 승리,출혈 1 부여
19,한정,2,더러운 타격,2,DEFENSE,,1,3,,,,
20,고급,2,느려,1,EVADE,,1,9,,,합 승리,자신의 다음 주사위 위력+2
20,고급,2,느려,2,ATTACK,SLASH,2,4,,,적중,다음 막에 취약 2 부여
21,한정,2,분투,1,DEFENSE,,2,6,사용시,보호 2를 얻음,,
21,한정,2,분투,2,DEFENSE,,2,5,사용시,보호 2를 얻음,,
21,한정,2,분투,3,ATTACK,BLUNT,2,6,사용시,보호 2를 얻음,,
22,보급,2,테스트 좀 해볼까,1,DEFENSE,,2,6,,,합 승리,대상의 다음 주사위 약화
22,보급,2,테스트 좀 해볼까,2,ATTACK,SLASH,2,4,,,,
22,보급,2,테스트 좀 해볼까,3,ATTACK,SLASH,2,3,,,,
23,보급,2,터터트려,1,ATTACK,PIERCE,1,6,,,적중,다음 막에 마비 1 부여
23,보급,2,터터트려,2,ATTACK,BLUNT,2,5,,,,
24,고급,2,퍼퍼석퍼석,1,ATTACK,SLASH,2,4,사용시,다음 막에 힘 2를 얻음,,
24,고급,2,퍼퍼석퍼석,2,EVADE,,3,4,사용시,다음 막에 힘 2를 얻음,,
25,보급,2,저절단,1,ATTACK,PIERCE,2,3,,,,
25,보급,2,저절단,2,ATTACK,SLASH,1,1,,,,
25,보급,2,저절단,3,ATTACK,SLASH,3,3,,,,
26,한정,2,압도,1,ATTACK,PIERCE,5,6,,,적중,다음 막에 출혈 2 부여
26,한정,2,압도,2,ATTACK,SLASH,2,3,,,,
27,보급,2,먼저간다,1,EVADE,,1,7,,,,
27,보급,2,먼저간다,2,ATTACK,PIERCE,2,2,,,적중,다음 막에 출혈 1 부여
27,보급,2,먼저간다,3,ATTACK,PIERCE,2,6,,,적중,다음 막에 출혈 1 부여
28,고급,2,받아내보시지,1,ATTACK,BLUNT,3,5,,,합 승리,대상의 다음 주사위 약화
28,고급,2,받아내보시지,2,ATTACK,PIERCE,3,4,,,적중,다음 막에 출혈 2 부여
29,고급,2,난도질,1,ATTACK,SLASH,1,6,,,적중,체력 1 회복
29,고급,2,난도질,2,ATTACK,SLASH,2,6,,,적중,체력 1 회복
30,보급,3,집중공격,1,ATTACK,SLASH,3,5,,,,
30,보급,3,집중공격,2,ATTACK,SLASH,3,5,,,,
30,보급,3,집중공격,3,ATTACK,PIERCE,1,3,,,,
31,한정,3,내장담기,1,ATTACK,SLASH,3,6,,,적중,다음 막에 출혈 1 부여
31,한정,3,내장담기,2,ATTACK,SLASH,3,5,,,적중,다음 막에 출혈 1 부여
31,한정,3,내장담기,3,DEFENSE,,1,4,,,,
32,한정,3,진두지휘,1,ATTACK,BLUNT,4,8,사용시,모든 아군에게 다음 막에 보호 1 부여,,
32,한정,3,진두지휘,2,DEFENSE,,3,4,사용시,모든 아군에게 다음 막에 보호 1 부여,,
32,한정,3,진두지휘,3,ATTACK,PIERCE,3,4,사용시,모든 아군에게 다음 막에 보호 1 부여,,
33,한정,3,이인생 한 방,1,ATTACK,BLUNT,1,12,,,적중,다음 막에 마비 2 부여
34,고급,3,광란,1,ATTACK,BLUNT,2,4,,,적중,다음 막에 출혈 1 부여
34,고급,3,광란,2,ATTACK,PIERCE,3,5,,,적중,다음 막에 출혈 1 부여
34,고급,3,광란,3,ATTACK,SLASH,3,5,,,,
35,보급,0,막치기,1,ATTACK,BLUNT,1,5,,,,
36,고급,0,갈증,1,ATTACK,PIERCE,3,4,,,적중,출혈 1 부여
37,보급,0,자료수집,1,ATTACK,SLASH,2,6,,,적중,화상 1 부여
38,보급,1,연속 방어,1,DEFENSE,,1,5,,,,
38,보급,1,연속 방어,2,DEFENSE,,3,5,,,,
38,보급,1,연속 방어,3,ATTACK,BLUNT,1,4,,,,
39,보급,1,속공,1,ATTACK,PIERCE,2,3,사용시,다음 막에 신속 2를 얻음,,
39,보급,1,속공,2,ATTACK,BLUNT,2,3,사용시,다음 막에 신속 2를 얻음,,
40,한정,1,싱싱하게,1,ATTACK,SLASH,3,4,,,,
40,한정,1,싱싱하게,2,EVADE,,1,12,,,,
41,보급,1,재료 손질,1,ATTACK,BLUNT,1,6,,,적중,다음 막에 마비 1 부여
41,보급,1,재료 손질,2,EVADE,,1,4,,,,
42,고급,1,요리 준비,1,DEFENSE,,4,5,,,,
42,고급,1,요리 준비,2,ATTACK,PIERCE,3,5,,,적중,출혈 2 부여
43,고급,1,잔혹함,1,ATTACK,BLUNT,2,6,,,적중,대상의 출혈 수만큼 HP 회복
43,고급,1,잔혹함,2,DEFENSE,,2,3,,,,
44,한정,1,쳐내기,1,DEFENSE,,3,4,,,,
44,한정,1,쳐내기,2,ATTACK,BLUNT,1,4,,,적중,다음 막에 마비 1 부여
44,한정,1,쳐내기,3,ATTACK,SLASH,1,4,,,,
45,고급,1,마음가짐,1,DEFENSE,,2,4,,,합 승리,다음 막에 인내 1을 얻음
45,고급,1,마음가짐,2,ATTACK,SLASH,2,6,,,,
46,고급,1,불빠따 맛 좀 봐,1,DEFENSE,,3,4,,,,
46,고급,1,불빠따 맛 좀 봐,2,EVADE,,1,8,,,합 승리,자신의 다음 주사위 강화
46,고급,1,불빠따 맛 좀 봐,3,ATTACK,BLUNT,3,3,,,적중,화상 2 부여
47,고급,1,재빠른 발걸음,1,ATTACK,SLASH,2,3,,,,
47,고급,1,재빠른 발걸음,2,EVADE,,1,6,,,방어시,체력 2 회복
47,고급,1,재빠른 발걸음,3,EVADE,,1,4,,,방어시,체력 2 회복
48,보급,1,마음가짐,1,DEFENSE,,1,6,,,합 승리,다음 막에 인내 1을 얻음
48,보급,1,마음가짐,2,ATTACK,BLUNT,4,5,,,,
49,보급,2,연속 타격,1,ATTACK,PIERCE,1,6,,,합 승리,자신의 다음 주사위 강화
49,보급,2,연속 타격,2,ATTACK,BLUNT,1,2,,,합 승리,자신의 다음 주사위 강화
49,보급,2,연속 타격,3,ATTACK,BLUNT,1,2,,,,
50,한정,2,무엇이든 요리할 수 있지,1,ATTACK,PIERCE,1,6,,,,
50,한정,2,무엇이든 요리할 수 있지,2,ATTACK,SLASH,4,4,,,적중,체력 4 회복
51,보급,2,재료 사냥,1,ATTACK,SLASH,2,6,,,적중,다음 막에 속박 2 부여
51,보급,2,재료 사냥,2,ATTACK,BLUNT,2,5,,,,
52,한정,2,불태우기,1,ATTACK,BLUNT,3,5,,,적중,"화상 3 부여, 자신에게 피해 3"
52,한정,2,불태우기,2,ATTACK,BLUNT,3,5,,,적중,"화상 3 부여, 자신에게 피해 3"
53,보급,3,강타,1,ATTACK,BLUNT,5,7,,,,
53,보급,3,강타,2,ATTACK,BLUNT,3,4,,,,
54,보급,3,연속공격,1,ATTACK,BLUNT,1,5,,,,
54,보급,3,연속공격,2,ATTACK,SLASH,2,6,,,,
54,보급,3,연속공격,3,ATTACK,SLASH,3,6,,,,
55,보급,0,견제,1,ATTACK,SLASH,1,3,,,,
55,보급,0,견제,2,ATTACK,BLUNT,1,4,,,,
56,보급,0,치안 수호,1,ATTACK,SLASH,2,6,,,합 승리,대상에게 피해 2
57,한정,0,잠깐!,1,ATTACK,PIERCE,2,3,사용시,빛 1 회복,,
58,고급,0,손 풀기,1,ATTACK,BLUNT,2,6,,,적중,빛 1 회복
59,보급,1,예리한 일격,1,ATTACK,PIERCE,3,6,,,,
60,보급,1,후방공격,1,EVADE,,1,8,,,,
60,보급,1,후방공격,2,ATTACK,BLUNT,2,3,,,,
60,보급,1,후방공격,3,ATTACK,SLASH,1,4,,,,
61,보급,1,맞서기,1,ATTACK,SLASH,1,6,,,적중,체력 2 회복
61,보급,1,맞서기,2,ATTACK,BLUNT,2,3,,,,
62,고급,1,고요한 밤,1,EVADE,,1,6,사용시,다음 막에 인내 2를 얻음,,
62,고급,1,고요한 밤,2,ATTACK,SLASH,1,4,사용시,다음 막에 인내 2를 얻음,,
62,고급,1,고요한 밤,3,ATTACK,PIERCE,1,4,사용시,다음 막에 인내 2를 얻음,,
63,한정,1,울타리,1,EVADE,,1,6,사용시,모든 아군에게 다음 막에 보호 1 부여,,
63,한정,1,울타리,2,ATTACK,SLASH,1,6,사용시,모든 아군에게 다음 막에 보호 1 부여,,
63,한정,1,울타리,3,DEFENSE,,3,4,사용시,모든 아군에게 다음 막에 보호 1 부여,,
64,한정,1,수호자,1,ATTACK,BLUNT,1,5,사용시,모든 아군에게 다음 막에 인내 1 부여,,
64,한정,1,수호자,2,ATTACK,SLASH,1,6,사용시,모든 아군에게 다음 막에 인내 1 부여,,
65,보급,1,흘려치기,1,DEFENSE,,2,4,,,,
65,보급,1,흘려치기,2,ATTACK,SLASH,3,5,,,적중,다음 막에 속박 2 부여
66,한정,1,맹습,1,ATTACK,PIERCE,2,3,사용시,비용이 가장 낮은 책장 1장을 버림,,
66,한정,1,맹습,2,ATTACK,SLASH,2,3,사용시,비용이 가장 낮은 책장 1장을 버림,,
66,한정,1,맹습,3,ATTACK,PIERCE,1,6,사용시,비용이 가장 낮은 책장 1장을 버림,,
67,한정,1,도박수,1,ATTACK,SLASH,3,6,사용시,비용이 가장 낮은 책장 1장을 버림,,
67,한정,1,도박수,2,ATTACK,BLUNT,3,6,사용시,비용이 가장 낮은 책장 1장을 버림,,
68,고급,1,침착하게,1,ATTACK,SLASH,2,4,,이 책장을 버리면 책장을 1장 뽑음,,
68,고급,1,침착하게,2,ATTACK,PIERCE,2,3,,이 책장을 버리면 책장을 1장 뽑음,,
68,고급,1,침착하게,3,ATTACK,BLUNT,2,3,,이 책장을 버리면 책장을 1장 뽑음,,
69,보급,1,신속보법,1,EVADE,,1,8,,,,
69,보급,1,신속보법,2,ATTACK,SLASH,2,8,,,,
70,보급,1,가르기,1,ATTACK,SLASH,1,3,,,,
70,보급,1,가르기,2,ATTACK,SLASH,1,4,,,,
70,보급,1,가르기,3,ATTACK,PIERCE,1,3,,,,
71,고급,1,가볍게,1,ATTACK,BLUNT,2,4,,,,
71,고급,1,가볍게,2,ATTACK,SLASH,2,6,,,,
72,보급,2,작렬,1,ATTACK,BLUNT,3,5,사용시,"비용이 가장 낮은 책장 1장을 버림, 빛 2 회복",,
72,보급,2,작렬,2,ATTACK,PIERCE,3,4,사용시,"비용이 가장 낮은 책장 1장을 버림, 빛 2 회복",,
73,한정,2,업무처리,1,ATTACK,SLASH,2,6,,,합 승리,자신의 다음 주사위 강화
73,한정,2,업무처리,2,ATTACK,SLASH,3,4,,,합 승리,자신의 다음 주사위 강화
73,한정,2,업무처리,3,DEFENSE,,2,6,,,,
74,고급,2,당신의 방패,1,DEFENSE,,2,4,,,합 승리,대상에게 피해 2
74,고급,2,당신의 방패,2,ATTACK,SLASH,2,5,,,,
74,고급,2,당신의 방패,3,ATTACK,SLASH,2,5,,,,
75,한정,2,전투 준비,1,ATTACK,SLASH,3,4,사용시,모든 아군에게 다음 막에 인내 2 부여,,
75,한정,2,전투 준비,2,DEFENSE,,2,4,사용시,모든 아군에게 다음 막에 인내 2 부여,,
75,한정,2,전투 준비,3,EVADE,,1,8,사용시,모든 아군에게 다음 막에 인내 2 부여,,
76,고급,2,회전베기,1,ATTACK,PIERCE,3,6,,,적중,다음 막에 마비 1 부여
