등급,코스트,책장/주사위,,,특수효과,,평균합,회피제외,공격만
V 도시악몽,,,,,,,,,
예술,2,쓰레기 처리,,,사용시,이 책장의 모든 공격 주사위가 '적중 시 체력 2 회복' 을 받음/전용 전투 책장(청소부),17.96,17.96,9.96
,,방어,2,7, , ,,,
,,타격,3,8, ,,,,
,,방어,2,4,,,,,
,,관통,2,3,적중,원래 주사위 값이 3이면 이 주사위를 재사용(최대 6번 재사용),,,
예술,2,공간 절단,,,,"전용 전투 책장(레스티의 책장, 센의 책장, 로즈의 책장)",25.5,25.5,25.5
,,,,,사용시,"(충전x9.9)%의 확률로 성공, 충전 모두 소모",,,
,,,,,성공,이 책장의 모든 주사위 위력 +8,,,
,,,,,실패,자신에게 피해 20,,,
,,참격,2,4,합 승리,책장을 2장 뽑음,,,
,,참격,3,6,,이 책장으로 충전을 10 소모했으면 위력 +2,,,
한정,2,육참,,,,김삿갓 전용 전투 책장,7.5,7.5,7.5
,,참격,5,10,합 패배,자신의 패에 골단을 넣는다,,,
예술,5,골단,,,,사용시 소멸한다. 이 책장은 1장만 보유 가능.,18.5,18.5,18.5
,,참격',14,23,적중,"다음 막에 마비 5, 출혈 3 부여",,,
,,방어,2,8,,,,,
예술,4,사의 경계,,, ,유진 전용 전투 책장,14.75,14.75,14.75
,,관통,1,4, ,"원래 주사위 값이 4 이상이고, 최대값이면 위력+45",,,
예술,4,타오르는 일격,,, ,불안정한 우는 아이 전용 전투 책장,20.5,20.5,20.5
,,타격,13,28,적중,화상 10 부여,,,
VI 도시의 별,,,,,,,,,
보급,1,장전,,,,"엄지 전용 전투 책장(엄지 조직원, 칼로, 카트리엘, 데니스의 책장에만 장착가능)",9.5,9.5,9.5
,,,,,사용시,손에 무작위 탄환을 1장 추가. 책장을 1장 뽑음,,,
,,관통,3,7,,,,,
,,타격,2,7,,,,,
보급,1,견제 사격,,,원거리,"엄지 전용 전투 책장(엄지 조직원, 칼로, 카트리엘, 데니스의 책장에만 장착가능)",11.5,11.5,11.5
,,,,,사용시,비용이 가장 낮은 책장 1장을 버린다. 탄환을 버렸다면 이 책장의 모든 공격 주사위 위력 +1,,,
,,관통,4,8,적중,다음 막에 출혈 1 부여,,,
,,타격,4,7,,,,,
고급,2,총검술,,,,"엄지 전용 전투 책장(엄지 조직원, 칼로, 카트리엘, 데니스의 책장에만 장착가능)",16,16,11
,,,,,사용시,손에 무작위 탄환을 2장 추가,,,
,,방어,3,7,,,,,
,,타격,5,7,,,,,
,,관통,4,6,,,,,
고급,2,충격탄,,,원거리,"엄지 전용 전투 책장(엄지 조직원, 칼로, 카트리엘, 데니스의 책장에만 장착가능)",13.5,13.5,13.5
,,,,,사용시,비용이 가장 낮은 책장 2장을 버리고 책장을 1장 뽑는다.,,,
,,,,,,이 능력으로 버린 탄환의 수만큼 이 책장의 모든 공격 주사위 위력 +1,,,
,,타격,5,10,적중,대상에게 흐트러짐 피해 3,,,
,,관통,5,7,,,,,
고급,2,즉결심판,,,,"칼로, 카트리엘, 데니스 전용 전투 책장",17,12,12
,,,,,사용시,비용이 가장 낮은 책장 1장을 버린다. 탄환을 버렸다면 이 책장의 모든 공격 주사위 위력 +1,,,
,,회피,3,7,,,,,
,,참격,3,6,,,,,
,,관통,5,10,,,,,
한정,2,으스스한 일격,,,,마르티나 전용 전투 책장,15.5,15.5,10
,,관통,7,13,적중,충전 2를 소모하여 대상에게 흐트러짐 피해 6'을 3번 발동,,,
,,방어,4,7,,,,,
예술,2,광폭화,,,일회성,"묘 전용 전투 책장, 감정 단계가 3 이상일 때 사용 가능.",9.5,9.5,5
,,,,,사용시,다음 막부터 모든 주사위의 위력이 1 증가한다. ,,,
,,,,,,자신의 모든 원거리 책장을 근거리 책장으로 변환한다.,,,
,,,,,,손에 '광폭한 칼날' 책장을 추가한다.,,,
,,방어,2,7,,,,,
,,참격,3,7,,,,,
예술,6,광폭한 칼날,,,광역 개별,충전이 20 이상일 때만 사용 가능.,21,21,21
,,,,,,공격 적중시 다음 막에 출혈 3 부여,,,
,,관통,4,9,,,,,
,,참격,4,9,,,,,
,,참격,6,10,적중,"직접 지정한 대상이라면, 대상에게 피해 15",,,
예술,3,철산고,,, ,"세실, 메이 전용 전투 책장",25,25,25
,,관통,5,6, , ,,,
,,타격,8,21,적중,화상 1 부여. 감정 단계 1당 부여하는 화상 수치 1 증가,,,
,,관통',3,7,,,,,
