등급,코스트,책장/주사위,,,특수효과,
I 뜬소문,,,,,,
보급,0,회피,,,,
,,회피,1,4,,
보급,0,회피 공격,,,,
,,회피,1,4,,
,,참격,1,2,,
한정,0,추충전,,,사용시,"빛 1 회복, 다음 턴에 마비 1을 받음 "
,,타격,2,3,,
보급,0,추적,,,사용시,체력 1 회복
,,참격,1,4,,
보급,1,가벼운 공격,,,,
,,관통,2,3,,
,,타격,1,4,,
보급,1,가벼운 방어,,,,
,,회피,1,5,,
,,방어,2,3,,
,,참격,1,2,,
보급,1,찌르기,,,,
,,관통,1,4,,
,,관통,1,4,,
보급,1,재빠름,,,사용시,다음 막에 신속 1을 얻음
,,타격,1,4,,
,,회피,1,6,,
고급,1,물어뜯기,,,,
,,참격,1,4,적중,다음 막에 출혈 1 부여
,,타격,1,4,,
고급,1,골목 돌파,,,,
,,관통,1,8,적중,다음 막에 출혈 1 부여
고급,1,튀어,,,,
,,회피,1,6,,
,,회피,1,6,,
,,타격,1,4,,
고급,1,느낌 좋은데,,,,
,,참격,1,5,적중,다음 막에 취약 1 부여
,,방어,3,4,,
보급,1,준비,,,,
,,관통,2,3,,
,,방어,3,4,합 승리,빛 1 회복
고급,1,버버티기,,,,
,,방어,2,5,,
,,방어,3,4,합 승리,다음 막에 마비 1 부여
,,타격,1,3,적중,다음 막에 마비 1 부여
보급,2,공격과 수비,,,,
,,관통,3,6,,
,,방어,2,6,,
보급,2,때리기,,,,
,,타격,2,6,,
,,타격,2,4,,
보급,2,선공,,,,
,,참격,3,5,,
,,회피,1,8,,
보급,2,쥐의 생존법,,,,
,,방어,1,6,,
,,참격,3,4,적중,다음 막에 출혈 1 부여
,,회피,1,7,,
한정,2,더러운 타격,,,,
,,타격,3,7,합 승리,출혈 1 부여
,,방어,1,3,,
고급,2,느려,,,,
,,회피,1,9,합 승리,자신의 다음 주사위 위력+2
,,참격,2,4,적중,다음 막에 취약 2 부여
한정,2,분투,,,사용시,보호 2를 얻음
