감정 등급,감정,이름,대상,효과
역사의 층 - 말쿠트,,,,
I,2,행복한 기억,1,손에서 비용이 가장 높은 책장 1개가 선택된다. 그 책장과 동일한 책장들을 사용할 때 마다 그 책장들의 비용이 1 감소한다. (장착시 발동 책장 제외)
I,1,그리웠던 옛날의 포옹,1,합 승리시 20%의 확률로 대상에게 주사위값만큼 흐트러짐 피해를 준다. 동일한 대상과 합을 할 수록 확률이 증가한다.
I,0,재,1,피격 시 화상 1-3을 부여한다. 피격 시 40% 확률로 다음 막에 사용하는 공격 주사위에 '[적중] 화상 1 부여' 효과를 추가한다. (중첩 불가)
I,-1,성냥불,1,환상체 책장을 고른 후 사용하는 2장의 책장에 '성냥불'을 부여한다. ([장착시 발동] 책장 제외) 성냥불이 부여된 책장을 사용할 때마다 이 사서가 '불씨' 1을 얻는다. 
,,,,"성냥불이 부여된 책장은 불씨 값에 따라 강화된다. 단, 불씨가 4 이상이면 해당 책장 사용 시 25% 확률로 피해를 받는다."
I,-2,요정들의 보살핌,1,3막 동안 막 종료시 체력을 최대 체력의 15%만큼 회복한다(최대 18). 이 효과가 적용되는 동안 3번 이상 피격시 현재 체력을 25% 잃고 이 효과는 사라진다(최대 30).
I,-3,애정 표현,1,합 진행 시 모든 주사위의 위력 1-2 증가. 일방 공격 시 모든 주사위의 위력 1-2 감소.
,,,,
II,2,식탐,1,"공격 대상이 이번 막에 피해를 받았다면, 적중 시 피해량이 1-3 증가하고, 체력을 2-5 회복한다."
II,1,덩굴,1,이번 무대동안 막 시작 시 무작위 적 1명에게 속박 6을 부여한다. 해당 적을 관통 주사위로 공격 시 위력 1-2 증가.
II,0,포자,1,"피격 시 공격자에게 화상 1-3을 부여하고, 다음 막에 출혈 1-3을 부여한다."
II,-1,일벌,1,자신에게 피해를 가장 많이 준 대상에게 표식이 찍힌다. 해당 적을 아군이 공격할 때 피해량이 2-4 증가한다.
II,-2,포식,1,"이 캐릭터를 제외한 모든 아군의 체력이 10 감소한다. 감소된 체력만큼 이 캐릭터의 체력이 회복되고, 이번 막동안 힘, 신속 3을 얻는다."
II,-3,발걸음,아군,"체력이 20% 이하일 경우, 대상에게 도착 시 대상에게 전체 체력의 30%만큼(최대 36)의 피해를 주고 화상 1-3을 부여한 뒤 사망한다."
,,,,
III,각성,가시 장벽,1,피격 시 공격자에게 2-8의 피해를 주고 속박 1-3을 부여한다. 속박 3을 부여할 때 이 책장의 효과로 대상에게 준 피해만큼 체력을 회복한다.
III,각성,악의,1,"이번 막 시작 시 모든 적 캐릭터에게 자신의 남은 체력에 반비례하여 피해를 준다. (최소 5, 최대 30)"
III,붕괴,충성심,1,자신이 받은 피해에 따라 다음 막에 모든 아군이 힘을 얻는다. (피해량 5당 힘 1)
,,,,
기술과학의 층 - 예소드,,,,
I,2,의뢰,1,"생존한 '의뢰 대상'이 없을 경우, 처음 공격하는 적에게 '의뢰 대상' 효과를 부여한다. 의뢰 대상에게 주는 피해량이 3-5 증가한다. 이 캐릭터가 의뢰 대상을 처치하면 흐트러짐 저항을 최대로 회복하고, 책을 2배로 획득한다."
I,1,패턴 반복 인식 기능,1,합에서 3번 승리할 때마다 빛을 1 회복하고 다음 막에 신속 1-2를 얻는다.
I,0,금속성 울림,1,"타격 주사위가 적중할 때마다 속박, 마비 1을 부여한다."
I,0,애도,1,상태이상이 있는 캐릭터가 받는 피해량이 2-4 증가한다. 이 캐릭터는 막 시작시 상태이상이 있으면 힘을 1-2 얻는다.
I,-1,리듬,1,이번 전투동안 막 시작 시마다 리듬을 1 얻는다. 리듬을 가진 캐릭터의 공격이 적중할 때마다 25% 확률로 다음 막에 무작위 1명에게 리듬을 1 부여한다. 
,,,,"(리듬: 힘 1 증가, 피격 시 흐트러짐 피해량 증가, 1막동안 유지)"
I,-2,폭력성,1,"모든 주사위의 최소값이 1 감소하고, 최대값이 3 증가한다."
,,,,
II,2,청소,1,내 속도가 상대보다 높을 때 공격 주사위의 위력이 1-2 증가한다.
II,1,안식,1,"현재 체력이 가장 낮은 적을 공격할 때 공격 주사위의 피해량 2-7 증가, 흐트러짐 피해량 2-5 증가."
II,0,충전,1,"막 시작 시 빛을 최대로 가지고 있으면 이번 막에 신속 1-2를 얻고, 이번 막동안 피해량이 2-7 증가한다."
II,0,구속 당한 분노,1,타격 주사위의 위력이 1-3 증가한다. 속도가 1로 고정된다.
II,-1,일곱 번째 탄환,1,"공격 주사위의 피해량이 1-7 증가한다. 공격 주사위로 합 무승부, 패배시 주사위 값만큼 상대에게 피해를 준다. 일곱 번째 사용하는 근거리, 원거리 책장의 대상이 아군을 포함한 무작위 대상으로 결정된다."
II,-2,음악 중독,1,공격 주사위 위력이 1-3 증가한다. 수비 주사위 값이 1로 고정된다.
,,,,
III,각성,관,1,체력이 50% 이하인 적에게 공격이 적중하면 대상의 속도 주사위 1개를 봉인한다. (막 당 최대 2개)
III,붕괴,음악,전체,이번 무대에서 모든 캐릭터의 피해량이 4-8 증가한다. 피격 시 흐트러짐 피해를 4-8 추가로 받는다. 아군 한정으로 적을 처치할 때마다 체력과 흐트러짐 저항을 15 회복한다.
III,붕괴,흑염,1,"이번 무대에서 모든 캐릭터의 견딤/내성 속성을 약점/취약으로 변경한다. 매 막마다 신속 1-2, 힘 2-4를 얻는다."
,,,,
문학의 층 - 호드,,,,
I,2,사회적 거리두기,1,방어 주사위의 위력이 1-2 증가한다. 반동 시 흐트러짐 피해량이 2-7 증가한다.
I,1,고치,1,"공격 적중시 주사위 값이 최대였으면, 마비, 속박, 취약 1-2를 부여한다."
I,0,오늘의 표정,1,"표정이 지속적으로 바뀐다. 현재 표정에 따라 주사위의 위력이 변경된다. (최소 -2, 최대 +2)"
I,0,깜짝 선물,1,선택한 캐릭터가 처음으로 합을 하는 대상에게 선물을 부여한다. 선물을 받은 캐릭터가 이 캐릭터가 아닌 대상과 합 시작 시 선물이 40% 확률로 폭발한다.
,,,,"폭발 시 대상에게 2-7의 피해를 주고, 다음 막에 출혈을 2 부여한다. 선물을 받은 캐릭터 사망 시 대상을 다시 정할 수 있다."
I,-1,도끼,1,참격 주사위의 공격이 적중하지 않으면 흐트러짐 피해 2-5를 받는다(광역 제외). 참격 주사위의 위력이 1-3 증가한다. 
I,-2,반짝임,1,막 시작 시 적들이 각각 50%의 확률로 유혹에 걸린다. 유혹에 걸린 적들은 피해량이 2-4 증가하고 이 캐릭터를 공격한다. 유혹에 걸린 적과 합 진행 시 위력이 1-2 증가한다.
,,,,
II,2,경계,1,"자신과 합을 진행하는 대상의 위력이 1 감소한다. 합 승리 시 대상에게 50% 확률로 속박, 취약 1을 부여한다."
II,1,수줍음,1,"책장을 사용할 때, 그 책장의 방어 주사위의 위력이 수비 주사위의 수만큼 증가한다."
II,0,식사,1,공격 적중시 대상이 흐트러짐 상태면 모든 아군이 체력을 2-4 회복한다.
II,0,친구,1,막 시작 시 손 패의 책장 중 1장에 친구를 숨긴다. (이미 손 패에 친구 책장이 있다면 발동하지 않는다.)
,,,,"친구가 숨겨진 책장은 위력이 2-4 증가한다. 단, 해당 책장을 2막 안에 사용하지 않으면 사서에게 2-7의 피해를 주고 소멸한다."
II,-1,재미난 장난,1,책장의 첫 번째 주사위가 반드시 최소 값 또는 최대 값으로 나온다. 최소 값이 나오면 피해 2-7을 받는다.
II,-2,집착,전체,모든 캐릭터가 출혈을 2배로 부여한다.
,,,,
III,각성,사랑하는 가족,1,쐐기옷을 6 얻는다. 막 시작 시 쐐기옷 수치만큼 보호를 얻는다. 막 종료 시 쐐기옷이 1 감소한다.
III,각성,낡은 양산,1,"속도가 2-3 증가한다. 피격 시 30% 확률로 받은 피해를 0으로 만들고, 받은 피해의 2배를 흐트러짐 피해로 반사한다."
